_id,processo_numero,processo_ocorrencia
140,8150197019,Imoveis com Danos/Risco
141,8150190818,Imoveis com Danos/Risco
142,8150139218,Arvores em Risco
143,8150083519,Não há Ocorrência para essa Solicitação
144,8150055119,Deslizamentos de Barreiras
145,8149965819,Invasao de Terreno de Auxilio Moradia
146,8149954619,Não há Ocorrência para essa Solicitação
147,8149861819,Imoveis com Danos/Risco
148,8149723419,Imoveis com Danos/Risco
149,8149664018,Não há Ocorrência para essa Solicitação
150,8149659618,Não há Ocorrência para essa Solicitação
151,8149603018,Tombamento de Arvores
152,8149600019,Imoveis com Danos/Risco
153,8149584419,Deslizamentos de Barreiras
154,8149582119,Não há Ocorrência para essa Solicitação
155,8149550219,Imoveis com Danos/Risco
156,8149544219,Não há Ocorrência para essa Solicitação
157,8149531819,Não há Ocorrência para essa Solicitação
158,8149446019,Imoveis com Danos/Risco
159,8149327119,Imoveis com Danos/Risco
160,8149294619,Não há Ocorrência para essa Solicitação
161,8149244919,Imoveis com Danos/Risco
162,8149241019,Deslizamentos de Barreiras
163,8149171119,Não há Ocorrência para essa Solicitação
164,8149159119,Não há Ocorrência para essa Solicitação
165,8149144419,Não há Ocorrência para essa Solicitação
166,8149140919,Não há Ocorrência para essa Solicitação
167,8149129519,Imoveis com Danos/Risco
168,8149110219,Não há Ocorrência para essa Solicitação
169,8149088719,Não há Ocorrência para essa Solicitação
170,8149040419,Imoveis com Danos/Risco
171,8149037319,Não há Ocorrência para essa Solicitação
172,8149033819,Não há Ocorrência para essa Solicitação
173,8149022619,Não há Ocorrência para essa Solicitação
174,8149010819,Não há Ocorrência para essa Solicitação
175,8149008319,Não há Ocorrência para essa Solicitação
176,8148995218,Não há Ocorrência para essa Solicitação
177,8148993018,Imoveis com Danos/Risco
178,8148986119,Não há Ocorrência para essa Solicitação
179,8148982619,Não há Ocorrência para essa Solicitação
180,8148980319,Imoveis com Danos/Risco
181,8148957318,Imoveis Alagados
182,8148957318,Imoveis com Danos/Risco
183,8148930619,Imoveis com Danos/Risco
184,8148907419,Não há Ocorrência para essa Solicitação
185,8148887518,Invasao de Terreno de Auxilio Moradia
186,8148887518,Imoveis com Danos/Risco
187,8148883819,Não há Ocorrência para essa Solicitação
188,8148878419,Imoveis com Danos/Risco
189,8148875718,Não há Ocorrência para essa Solicitação
190,8148846718,Não há Ocorrência para essa Solicitação
191,8148846718,Deslizamentos de Barreiras
192,8148837818,Desabamento Total Imoveis
193,8148826618,Não há Ocorrência para essa Solicitação
194,8148810218,Não há Ocorrência para essa Solicitação
195,8148800718,Não há Ocorrência para essa Solicitação
196,8148800519,Não há Ocorrência para essa Solicitação
197,8148797618,Não há Ocorrência para essa Solicitação
198,8148789318,Imoveis com Danos/Risco
199,8148704818,Não há Ocorrência para essa Solicitação
200,8148635419,Muro com Danos
201,8148633318,Não há Ocorrência para essa Solicitação
202,8148595219,Não há Ocorrência para essa Solicitação
203,8148572418,Não há Ocorrência para essa Solicitação
204,8148567919,Não há Ocorrência para essa Solicitação
205,8148507818,Não há Ocorrência para essa Solicitação
206,8148352418,Muro com Danos
207,8148341019,Não há Ocorrência para essa Solicitação
208,8148336918,Arvores em Risco
209,8148297318,Não há Ocorrência para essa Solicitação
210,8148170318,Não há Ocorrência para essa Solicitação
211,8148116719,Imoveis com Danos/Risco
212,8148107819,Não há Ocorrência para essa Solicitação
213,8147952619,Não há Ocorrência para essa Solicitação
214,8147943719,Invasao de Terreno de Auxilio Moradia
215,8147909319,Arvores em Risco
216,8147905819,Imoveis com Danos/Risco
217,8147884019,Imoveis com Danos/Risco
218,8147867919,Imoveis com Danos/Risco
219,8147864019,Deslizamentos de Barreiras
220,8147853018,Imoveis com Danos/Risco
221,8147853018,Muro com Danos
222,8147778818,Não há Ocorrência para essa Solicitação
223,8147762219,Invasao de Terreno de Auxilio Moradia
224,8147748019,Imoveis com Danos/Risco
225,8147748019,Não há Ocorrência para essa Solicitação
226,8147697818,Não há Ocorrência para essa Solicitação
227,8147692618,Não há Ocorrência para essa Solicitação
228,8147547618,Não há Ocorrência para essa Solicitação
229,8147547419,Imoveis com Danos/Risco
230,8147535818,Não há Ocorrência para essa Solicitação
231,8147532918,Não há Ocorrência para essa Solicitação
232,8147527319,Imoveis com Danos/Risco
233,8147404018,Deslizamentos de Barreiras
234,8147334019,Não há Ocorrência para essa Solicitação
235,8147324519,Imoveis com Danos/Risco
236,8147276019,Imoveis com Danos/Risco
237,8147270418,Muro com Danos
238,8147250119,Muro com Danos
239,8147201019,Muro com Danos
240,8147198019,Deslizamentos de Barreiras
241,8147171618,Não há Ocorrência para essa Solicitação
242,8147078419,Imoveis com Danos/Risco
243,8147076318,Não há Ocorrência para essa Solicitação
244,8147067418,Não há Ocorrência para essa Solicitação
245,8147058319,Imoveis com Danos/Risco
246,8147034719,Imoveis com Danos/Risco
247,8146931519,Não há Ocorrência para essa Solicitação
248,8146924018,Não há Ocorrência para essa Solicitação
249,8146882419,Incendios
250,8146882419,Imoveis com Danos/Risco
251,8146875819,Imoveis com Danos/Risco
252,8146772419,Desabamento Parcial de Obras de Contencao/Drenagem
253,8146709019,Não há Ocorrência para essa Solicitação
254,8146704919,Não há Ocorrência para essa Solicitação
255,8146683318,Não há Ocorrência para essa Solicitação
256,8146675018,Imoveis com Danos/Risco
257,8146606719,Imoveis com Danos/Risco
258,8146604419,Imoveis com Danos/Risco
259,8146602119,Imoveis com Danos/Risco
260,8146583918,Imoveis com Danos/Risco
261,8146574018,Imoveis com Danos/Risco
262,8146565919,Imoveis com Danos/Risco
263,8146529219,Não há Ocorrência para essa Solicitação
264,8146504019,Imoveis com Danos/Risco
265,8146453619,Não há Ocorrência para essa Solicitação
266,8146418619,Não há Ocorrência para essa Solicitação
267,8146370518,Não há Ocorrência para essa Solicitação
268,8146367418,Não há Ocorrência para essa Solicitação
269,8146343619,Não há Ocorrência para essa Solicitação
270,8146333019,Não há Ocorrência para essa Solicitação
271,8146283518,Deslizamentos de Barreiras
272,8146264018,Imoveis com Danos/Risco
273,8146257418,Imoveis com Danos/Risco
274,8146251419,Não há Ocorrência para essa Solicitação
275,8146249118,Muro com Danos
276,8146249118,Desabamento Parcial Imoveis
277,8146236519,Imoveis com Danos/Risco
278,8146230918,Invasao de Terreno de Auxilio Moradia
279,8146186819,Não há Ocorrência para essa Solicitação
280,8146173319,Imoveis com Danos/Risco
281,8146171218,Não há Ocorrência para essa Solicitação
282,8146164419,Não há Ocorrência para essa Solicitação
283,8146162119,Não há Ocorrência para essa Solicitação
284,8146155519,Imoveis com Danos/Risco
285,8146137719,Não há Ocorrência para essa Solicitação
286,8146093019,Não há Ocorrência para essa Solicitação
287,8146056719,Imoveis com Danos/Risco
288,8146042818,Não há Ocorrência para essa Solicitação
289,8146040518,Não há Ocorrência para essa Solicitação
290,8146032218,Não há Ocorrência para essa Solicitação
291,8146009919,Arvores em Risco
292,8146000119,Não há Ocorrência para essa Solicitação
293,8145998919,Não há Ocorrência para essa Solicitação
294,8145984819,Não há Ocorrência para essa Solicitação
295,8145979419,Imoveis com Danos/Risco
296,8145893418,Não há Ocorrência para essa Solicitação
297,8145722518,Desabamento Parcial Imoveis
298,8145698519,Imoveis com Danos/Risco
299,8145680919,Imoveis com Danos/Risco
300,8145678419,Imoveis com Danos/Risco
301,8145637619,Imoveis com Danos/Risco
302,8145498619,Transbordamentos de Canais
303,8145490519,Não há Ocorrência para essa Solicitação
304,8145464419,Não há Ocorrência para essa Solicitação
305,8145460018,Não há Ocorrência para essa Solicitação
306,8145428018,Não há Ocorrência para essa Solicitação
307,8145372418,Arvores em Risco
308,8145078918,Não há Ocorrência para essa Solicitação
309,8144994118,Não há Ocorrência para essa Solicitação
310,8144989619,Não há Ocorrência para essa Solicitação
311,8144989619,Imoveis com Danos/Risco
312,8144969519,Imoveis com Danos/Risco
313,8144888519,Não há Ocorrência para essa Solicitação
314,8144856619,Não há Ocorrência para essa Solicitação
315,8144815018,Não há Ocorrência para essa Solicitação
316,8144677618,Imoveis com Danos/Risco
317,8144518518,Não há Ocorrência para essa Solicitação
318,8144462018,Não há Ocorrência para essa Solicitação
319,8144430018,Não há Ocorrência para essa Solicitação
320,8144426318,Não há Ocorrência para essa Solicitação
321,8144424018,Não há Ocorrência para essa Solicitação
322,8144410018,Muro com Danos
323,8144390719,Não há Ocorrência para essa Solicitação
324,8144385319,Não há Ocorrência para essa Solicitação
325,8144353618,Não há Ocorrência para essa Solicitação
326,8144339318,Não há Ocorrência para essa Solicitação
327,8144337018,Não há Ocorrência para essa Solicitação
328,8144322318,Não há Ocorrência para essa Solicitação
329,8144294018,Não há Ocorrência para essa Solicitação
330,8144235318,Não há Ocorrência para essa Solicitação
331,8144224019,Imoveis com Danos/Risco
332,8144201019,Não há Ocorrência para essa Solicitação
333,8144109619,Imoveis com Danos/Risco
334,8144082019,Imoveis com Danos/Risco
335,8144037519,Imoveis com Danos/Risco
336,8144004118,Imoveis com Danos/Risco
337,8143987118,Não há Ocorrência para essa Solicitação
338,8143940518,Não há Ocorrência para essa Solicitação
339,8143928319,Muro com Danos
340,8143912118,Não há Ocorrência para essa Solicitação
341,8143865318,Invasao de Terreno de Auxilio Moradia
342,8143865318,Não há Ocorrência para essa Solicitação
343,8143862418,Não há Ocorrência para essa Solicitação
344,8143856418,Não há Ocorrência para essa Solicitação
345,8143824518,Não há Ocorrência para essa Solicitação
346,8143815618,Não há Ocorrência para essa Solicitação
347,8143809618,Não há Ocorrência para essa Solicitação
348,8143689018,Não há Ocorrência para essa Solicitação
349,8143680318,Não há Ocorrência para essa Solicitação
350,8143638718,Não há Ocorrência para essa Solicitação
351,8143616318,Não há Ocorrência para essa Solicitação
352,8143605118,Não há Ocorrência para essa Solicitação
353,8143601618,Não há Ocorrência para essa Solicitação
354,8143599118,Não há Ocorrência para essa Solicitação
355,8143566618,Não há Ocorrência para essa Solicitação
356,8143546518,Imoveis com Danos/Risco
357,8143540519,Não há Ocorrência para essa Solicitação
358,8143498919,Imoveis com Danos/Risco
359,8143438818,Não há Ocorrência para essa Solicitação
360,8143418718,Não há Ocorrência para essa Solicitação
361,8143414118,Não há Ocorrência para essa Solicitação
362,8143403018,Não há Ocorrência para essa Solicitação
363,8143390319,Invasao de Terreno de Auxilio Moradia
364,8143381618,Não há Ocorrência para essa Solicitação
365,8143366519,Imoveis com Danos/Risco
366,8143350318,Arvores em Risco
367,8143320718,Imoveis com Danos/Risco
368,8143297518,Não há Ocorrência para essa Solicitação
369,8143297518,Arvores em Risco
370,8143282818,Não há Ocorrência para essa Solicitação
371,8143278018,Não há Ocorrência para essa Solicitação
372,8143274518,Não há Ocorrência para essa Solicitação
373,8143272218,Não há Ocorrência para essa Solicitação
374,8143266218,Não há Ocorrência para essa Solicitação
375,8143166619,Muro com Danos
376,8143162218,Não há Ocorrência para essa Solicitação
377,8143019319,Deslizamentos de Barreiras
378,8143019319,Não há Ocorrência para essa Solicitação
379,8142995919,Não há Ocorrência para essa Solicitação
380,8142928118,Imoveis com Danos/Risco
381,8142916318,Não há Ocorrência para essa Solicitação
382,8142891018,Não há Ocorrência para essa Solicitação
383,8142803219,Imoveis com Danos/Risco
384,8142766019,Deslizamentos de Barreiras
385,8142766019,Invasao de Terreno de Auxilio Moradia
386,8142749819,Imoveis com Danos/Risco
387,8142686619,Invasao de Terreno de Auxilio Moradia
388,8142680819,Imoveis com Danos/Risco
389,8142649518,Não há Ocorrência para essa Solicitação
390,8142646419,Imoveis com Danos/Risco
391,8142640619,Imoveis com Danos/Risco
392,8142629219,Imoveis com Danos/Risco
393,8142624019,Imoveis com Danos/Risco
394,8142583418,Não há Ocorrência para essa Solicitação
395,8142579718,Não há Ocorrência para essa Solicitação
396,8142577418,Não há Ocorrência para essa Solicitação
397,8142560219,Muro com Danos
398,8142373018,Não há Ocorrência para essa Solicitação
399,8142305219,Não há Ocorrência para essa Solicitação
400,8142225919,Não há Ocorrência para essa Solicitação
401,8142225018,Imoveis com Danos/Risco
402,8142062219,Invasao de Terreno de Auxilio Moradia
403,8142057919,Imoveis com Danos/Risco
404,8142017719,Imoveis com Danos/Risco
405,8141856718,Não há Ocorrência para essa Solicitação
406,8141832919,Imoveis com Danos/Risco
407,8141819219,Deslizamentos de Barreiras
408,8141772619,Não há Ocorrência para essa Solicitação
409,8141726419,Imoveis com Danos/Risco
410,8141722919,Não há Ocorrência para essa Solicitação
411,8141700519,Arvores em Risco
412,8141698019,Imoveis com Danos/Risco
413,8141643318,Imoveis com Danos/Risco
414,8141619319,Imoveis com Danos/Risco
415,8141611219,Arvores em Risco
416,8141606919,Arvores em Risco
417,8141513218,Não há Ocorrência para essa Solicitação
418,8141509319,Imoveis com Danos/Risco
419,8141501219,Imoveis com Danos/Risco
420,8141501219,Muro com Danos
421,8141385418,Imoveis com Danos/Risco
422,8141222818,Não há Ocorrência para essa Solicitação
423,8141213918,Não há Ocorrência para essa Solicitação
424,8141186019,Não há Ocorrência para essa Solicitação
425,8141156319,Não há Ocorrência para essa Solicitação
426,8141153618,Não há Ocorrência para essa Solicitação
427,8141151318,Não há Ocorrência para essa Solicitação
428,8141104518,Não há Ocorrência para essa Solicitação
429,8141101618,Muro com Danos
430,8141080719,Arvores em Risco
431,8141076118,Não há Ocorrência para essa Solicitação
432,8141017518,Imoveis com Danos/Risco
433,8140979619,Imoveis com Danos/Risco
434,8140975218,Não há Ocorrência para essa Solicitação
435,8140956818,Imoveis com Danos/Risco
436,8140934418,Não há Ocorrência para essa Solicitação
437,8140928418,Não há Ocorrência para essa Solicitação
438,8140894019,Imoveis com Danos/Risco
439,8140891119,Imoveis com Danos/Risco
440,8140881619,Arvores em Risco
441,8140850518,Arvores em Risco
442,8140846818,Invasao de Terreno de Auxilio Moradia
443,8140839019,Não há Ocorrência para essa Solicitação
444,8140823619,Imoveis com Danos/Risco
445,8140780718,Não há Ocorrência para essa Solicitação
446,8140710918,Desabamento Parcial Imoveis
447,8140680218,Não há Ocorrência para essa Solicitação
448,8140664718,Não há Ocorrência para essa Solicitação
449,8140620819,Não há Ocorrência para essa Solicitação
450,8140600918,Desabamento Parcial Imoveis
451,8140585018,Não há Ocorrência para essa Solicitação
452,8140582018,Não há Ocorrência para essa Solicitação
453,8140512218,Não há Ocorrência para essa Solicitação
454,8140499618,Não há Ocorrência para essa Solicitação
455,8140321218,Não há Ocorrência para essa Solicitação
456,8140282519,Não há Ocorrência para essa Solicitação
457,8140148918,Não há Ocorrência para essa Solicitação
458,8140085718,Não há Ocorrência para essa Solicitação
459,8140049919,Não há Ocorrência para essa Solicitação
460,8140019219,Imoveis com Danos/Risco
461,8139988519,Não há Ocorrência para essa Solicitação
462,8139848919,Não há Ocorrência para essa Solicitação
463,8139781318,Imoveis com Danos/Risco
464,8139749019,Não há Ocorrência para essa Solicitação
465,8139716519,Não há Ocorrência para essa Solicitação
466,8139671318,Imoveis com Danos/Risco
467,8139638419,Não há Ocorrência para essa Solicitação
468,8139618319,Imoveis com Danos/Risco
469,8139610418,Imoveis com Danos/Risco
470,8139602019,Muro com Danos
471,8139556018,Deslizamentos de Barreiras
472,8139548519,Não há Ocorrência para essa Solicitação
473,8139522818,Não há Ocorrência para essa Solicitação
474,8139518919,Imoveis com Danos/Risco
475,8139515019,Não há Ocorrência para essa Solicitação
476,8139510819,Invasao de Terreno de Auxilio Moradia
477,8139493818,Muro com Danos
478,8139467718,Não há Ocorrência para essa Solicitação
479,8139464818,Não há Ocorrência para essa Solicitação
480,8139423018,Deslizamentos de Barreiras
481,8139412619,Não há Ocorrência para essa Solicitação
482,8139385018,Deslizamentos de Barreiras
483,8139301019,Não há Ocorrência para essa Solicitação
484,8139276519,Imoveis com Danos/Risco
485,8139255819,Não há Ocorrência para essa Solicitação
486,8139241719,Não há Ocorrência para essa Solicitação
487,8139192619,Não há Ocorrência para essa Solicitação
488,8139182019,Imoveis com Danos/Risco
489,8139168819,Imoveis com Danos/Risco
490,8139158219,Não há Ocorrência para essa Solicitação
491,8139118019,Imoveis com Danos/Risco
492,8139102719,Imoveis com Danos/Risco
493,8138983118,Não há Ocorrência para essa Solicitação
494,8138949619,Não há Ocorrência para essa Solicitação
495,8138912519,Desabamento Parcial Imoveis
496,8138817418,Não há Ocorrência para essa Solicitação
497,8138750718,Imoveis com Danos/Risco
498,8138609218,Imoveis com Danos/Risco
499,8138567619,Não há Ocorrência para essa Solicitação
500,8138555018,Não há Ocorrência para essa Solicitação
501,8138546919,Não há Ocorrência para essa Solicitação
502,8138478518,Não há Ocorrência para essa Solicitação
503,8138422819,Imoveis com Danos/Risco
504,8138387819,Imoveis com Danos/Risco
505,8138383219,Não há Ocorrência para essa Solicitação
506,8138264319,Não há Ocorrência para essa Solicitação
507,8138230318,Imoveis com Danos/Risco
508,8138206319,Incendios
509,8138189119,Arvores em Risco
510,8138189119,Muro com Danos
511,8138174618,Imoveis com Danos/Risco
512,8138137119,Deslizamentos de Barreiras
513,8137984219,Não há Ocorrência para essa Solicitação
514,8137932219,Não há Ocorrência para essa Solicitação
515,8137861018,Não há Ocorrência para essa Solicitação
516,8137822219,Não há Ocorrência para essa Solicitação
517,8137779019,Arvores em Risco
518,8137759018,Não há Ocorrência para essa Solicitação
519,8137734619,Não há Ocorrência para essa Solicitação
520,8137719719,Não há Ocorrência para essa Solicitação
521,8137703319,Não há Ocorrência para essa Solicitação
522,8137703319,Arvores em Risco
523,8137598519,Não há Ocorrência para essa Solicitação
524,8137594019,Não há Ocorrência para essa Solicitação
525,8137533218,Não há Ocorrência para essa Solicitação
526,8137487018,Arvores em Risco
527,8137484118,Não há Ocorrência para essa Solicitação
528,8137480618,Não há Ocorrência para essa Solicitação
529,8137437119,Imoveis com Danos/Risco
530,8137386018,Não há Ocorrência para essa Solicitação
531,8137345019,Não há Ocorrência para essa Solicitação
532,8137286319,Imoveis com Danos/Risco
533,8137203218,Incendios
534,8137133219,Deslizamentos de Barreiras
535,8137108018,Não há Ocorrência para essa Solicitação
536,8137098219,Não há Ocorrência para essa Solicitação
537,8137096019,Imoveis com Danos/Risco
538,8137088719,Não há Ocorrência para essa Solicitação
539,8137080818,Não há Ocorrência para essa Solicitação
540,8137070019,Muro com Danos
541,8137057618,Não há Ocorrência para essa Solicitação
542,8136974518,Não há Ocorrência para essa Solicitação
543,8136968518,Não há Ocorrência para essa Solicitação
544,8136968518,Imoveis com Danos/Risco
545,8136960219,Arvores em Risco
546,8136958018,Não há Ocorrência para essa Solicitação
547,8136936419,Imoveis com Danos/Risco
548,8136910718,Imoveis com Danos/Risco
549,8136897018,Deslizamentos de Barreiras
550,8136853119,Não há Ocorrência para essa Solicitação
551,8136754518,Não há Ocorrência para essa Solicitação
552,8136741919,Não há Ocorrência para essa Solicitação
553,8136738819,Não há Ocorrência para essa Solicitação
554,8136711418,Não há Ocorrência para essa Solicitação
555,8136704818,Não há Ocorrência para essa Solicitação
556,8136593118,Imoveis com Danos/Risco
557,8136585918,Não há Ocorrência para essa Solicitação
558,8136547018,Imoveis com Danos/Risco
559,8136534518,Imoveis com Danos/Risco
560,8136489018,Não há Ocorrência para essa Solicitação
561,8136441718,Imoveis com Danos/Risco
562,8136424319,Imoveis com Danos/Risco
563,8136379018,Não há Ocorrência para essa Solicitação
564,8136375418,Imoveis com Danos/Risco
565,8136327819,Imoveis com Danos/Risco
566,8136303119,Deslizamentos de Barreiras
567,8136191919,Muro com Danos
568,8136186519,Invasao de Terreno de Auxilio Moradia
569,8136180719,Alagamentos
570,8136171819,Não há Ocorrência para essa Solicitação
571,8136152319,Não há Ocorrência para essa Solicitação
572,8136149219,Não há Ocorrência para essa Solicitação
573,8136144019,Imoveis com Danos/Risco
574,8136130019,Deslizamentos de Barreiras
575,8136125818,Não há Ocorrência para essa Solicitação
576,8136078819,Não há Ocorrência para essa Solicitação
577,8136018519,Não há Ocorrência para essa Solicitação
578,8136005218,Não há Ocorrência para essa Solicitação
579,8136000018,Deslizamentos de Barreiras
580,8135815018,Imoveis com Danos/Risco
581,8135813619,Imoveis com Danos/Risco
582,8135802618,Não há Ocorrência para essa Solicitação
583,8135761818,Imoveis com Danos/Risco
584,8135761818,Arvores em Risco
585,8135754019,Não há Ocorrência para essa Solicitação
586,8135737018,Imoveis com Danos/Risco
587,8135713318,Não há Ocorrência para essa Solicitação
588,8135652219,Imoveis com Danos/Risco
589,8135644019,Deslizamentos de Barreiras
590,8135641019,Imoveis com Danos/Risco
591,8135572919,Invasao de Terreno de Auxilio Moradia
592,8135561719,Imoveis com Danos/Risco
593,8135556518,Não há Ocorrência para essa Solicitação
594,8135528118,Não há Ocorrência para essa Solicitação
595,8135490418,Não há Ocorrência para essa Solicitação
596,8135373619,Imoveis com Danos/Risco
